"species" "Genus" "Family" "Order" "BodyLength_mm" "BodyLength_male" "BodyLength_female" "BodyLength_min" "BodyLength_max" "Litter_size" "Development_total_d" "Development_egg_mean_d" "Development_larva_mean_d" "Development_pupa_mean_d" "Longevity_y" "Semivoltine" "Univoltine" "Bivoltine" "Multivoltine" "Overwintering_egg" "Overwintering_larva" "Overwintering_pupa" "Overwintering_imago" "Activity" "Larva_Diet" "Imago_Diet" "Larva_Diet_range" "Imago_Diet_range" "Diet_Carniv" "Diet_Scav" "Diet_Fungi" "Diet_Root" "Diet_Seed" "Diet_Leaf" "Diet_Flower" "Diet_Stem" "Diet_Grass" "Diet_Woody" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "EIV_Light" "EIV_Temp" "EIV_Moisture" "Elev_Planar" "Elev_Colline" "Elev_Montane" "Elev_Subalpine" "Elev_Alpine" "Dispersal_ability" "Dispersal_km" "RangeSize_km2" "IUCN_status" "Riparian_sp" "BodyWidth_mm" "BodyHeight_mm" "Head_length_mm" "Head_width_mm" "Eye_area_mm2" "Antenna_length_mm" "Mandible_length_mm" "Proximal_mandible_width_mm" "Front_leg_length_mm" "Mid_leg_length_mm" "Hind_leg_length_mm" "Wing_morphology" "Elytra_length_mm" "Elytra_width_mm" "Wing_length_mm" "Wing_width_mm" "Wing_area_mm2" "Hairiness_total" "Colour_lightness" "Biotope_range" "gbif_accepted" "gbif_rank" "gbif_genus" "gbif_family" "gbif_order" "gbif_class" "gbif_phylum" "gbif_IUCN"
"Garreta malleolus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 358777.473629879 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Garreta malleolus (Kolbe, 1895)" "SPECIES" "Garreta" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Garreta nitens" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4770484.51206545 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Garreta nitens (Olivier, 1789)" "SPECIES" "Garreta" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Gasterocercus depressirostris" NA "Curculionidae" "Coleoptera" 6.384 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.163 2.092 1.042 0.561 0.181 1.326 0.304 0.17 3.965 2.647 2.795 NA 3.606 1.041 7.769 2.417 15.167 9.095 NA NA "Gasterocercus depressirostris (J.C.Fabricius, 1792)" "SPECIES" "Gasterocercus" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gastrallus immarginatus" NA "Ptinidae" "Coleoptera" 2.236 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.909 0.807 0.241 0.545 0.038 0.654 0.158 0.082 NA NA NA NA 1.672 0.427 NA NA NA 87.112 123.37 NA "Gastrallus immarginatus (Müller, 1821)" "SPECIES" "Gastrallus" "Anobiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gastrallus knizeki" NA "Ptinidae" "Coleoptera" 2.843 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.005 0.96 0.477 0.773 0.066 1.151 NA NA NA NA NA NA 2.178 0.704 NA NA NA 87.693 NA NA "Gastrallus knizeki Zahradník, 1996" "SPECIES" "Gastrallus" "Anobiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gastrallus laevigatus" NA "Ptinidae" "Coleoptera" 2.714 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.933 1.066 0.329 0.683 0.054 0.909 0.187 0.09 NA NA NA NA 2.011 0.528 NA NA NA 75.287 131.61 NA "Gastrallus laevigatus (Olivier, 1790)" "SPECIES" "Gastrallus" "Anobiidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gastrophysa polygoni" NA "Chrysomelidae" "Coleoptera" 4.5 NA NA 3.6 4.7 NA NA NA NA NA NA 0 0 0 1 0 0 1 1 NA NA "Herbivorous" NA "oligophagous" 0 0 0 0 0 1 0 0 1 NA 0 1 0 0 NA NA 0 NA 1 0 0 0 0 NA 1 1 0 NA 0 0 1 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "macroptery" NA NA NA NA NA NA NA NA "Gastrophysa polygoni (Linnaeus, 1758)" "SPECIES" "Gastrophysa" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gastrophysa viridula" NA "Chrysomelidae" "Coleoptera" 5 NA NA 4.1 5.8 NA NA NA NA NA NA 0 0 0 1 0 0 1 1 NA NA "Herbivorous" NA "monophagous" 0 0 0 0 0 1 0 0 1 NA 0 1 0 0 NA NA 0 NA 1 0 0 0 0 NA 0 0 1 NA 0 0 0 NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "macroptery" NA NA NA NA NA NA NA NA "Gastrophysa viridula (De Geer, 1775)" "SPECIES" "Gastrophysa" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gaurotes virginea" NA "Cerambycidae" "Coleoptera" 10.13 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.905 3.407 2.088 1.822 0.298 7.075 0.87 0.246 5.846 6.909 8.537 NA 7.046 1.934 12.847 5.068 56.931 5.036 137.02 NA "Gaurotes virginea (Linnaeus, 1758)" "SPECIES" "Gaurotes" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Genieridium medinae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 249.980019359338 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Genieridium medinae (Gill & Vaz-de-Mello, 2002)" "SPECIES" "Genieridium" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Geostiba melanocephala" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 748.668036874917 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geostiba melanocephala (Crotch, 1867)" "SPECIES" "Geostiba" "Staphylinidae" "Coleoptera" "Insecta" "Arthropoda" "CRITICALLY_ENDANGERED"
"Geotrupes douei" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 397275.064031846 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geotrupes douei Gory, 1841" "SPECIES" "Geotrupes" "Geotrupidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Geotrupes ibericus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 491904.435908164 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geotrupes ibericus Baraud, 1958" "SPECIES" "Geotrupes" "Geotrupidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Geotrupes mutator" NA "Geotrupidae" "Coleoptera" 20 NA NA 14 26 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Scavenger" "Scavenger" "polyphagous" "polyphagous" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geotrupes mutator (Marsham, 1802)" "SPECIES" "Geotrupes" "Geotrupidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Geotrupes spiniger" NA "Geotrupidae" "Coleoptera" 21 NA NA 15 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Scavenger" "Scavenger" "polyphagous" "polyphagous" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geotrupes spiniger (Marsham, 1802)" "SPECIES" "Geotrupes" "Geotrupidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Geotrupes stercorarius" NA "Geotrupidae" "Coleoptera" 21 NA NA 15 27 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Scavenger" "Scavenger" "polyphagous" "polyphagous" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Geotrupes stercorarius (Linnaeus, 1758)" "SPECIES" "Geotrupes" "Geotrupidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Geotrupes stercorosus" NA "Geotrupidae" "Coleoptera" 15.5 NA NA 12 19 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Scavenger" "Scavenger" "polyphagous" "polyphagous" NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Gerandryus aetnensis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1763.16271996985 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gerandryus aetnensis (Rottenberg, 1871)" "SPECIES" "Gerandryus" "Tenebrionidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Gietella faialensis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.751963346200237 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gietella faialensis Menier & Constantin, 1988" "SPECIES" "Gietella" "Gietellidae" "Coleoptera" "Insecta" "Arthropoda" "CRITICALLY_ENDANGERED"
"Glaphyra marmottani" NA "Cerambycidae" "Coleoptera" 6.879 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.727 1.22 0.923 1.165 0.147 4.905 0.366 0.255 2.428 3.026 4.37 NA 1.437 0.781 5.677 1.933 8.463 14.363 130.53 NA "Molorchus marmottani Brisout de Barneville, 1863" "SPECIES" "Molorchus" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Glaphyra umbellatarum" NA "Cerambycidae" "Coleoptera" 5.911 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.296 0.956 0.969 1.099 0.153 5.634 0.407 0.197 1.867 2.729 4.375 NA 1.787 0.673 5.554 1.935 8.191 21.691 140.28 NA "Molorchus umbellatarum (Schreber, 1759)" "SPECIES" "Molorchus" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Glipostenoda mellissiana" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 83.2723260597116 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Glipostenoda mellissiana (Wollaston, 1870)" "SPECIES" "Glipostenoda" "Mordellidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Glischrochilus quadriguttatus" NA "Nitidulidae" "Coleoptera" 4.654 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.854 1.101 0.83 1.179 0.047 0.924 0.461 0.111 1.379 1.336 1.44 NA 2.605 0.848 5.639 1.505 7.358 3.17 99.78 NA "Glischrochilus quadriguttatus (Fabricius, 1777)" "SPECIES" "Glischrochilus" "Nitidulidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Glischrochilus quadripunctatus" NA "Nitidulidae" "Coleoptera" 4.992 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Carnivorous" NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.771 1.087 1.061 1.296 0.058 1.144 0.605 0.177 2.048 2.022 2.293 NA 2.978 0.858 7.793 2.712 17.974 2.228 100.48 NA "Glischrochilus quadripunctatus (Linnaeus, 1758)" "SPECIES" "Glischrochilus" "Nitidulidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Globencya cribrata" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 60615.4305823663 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Globencya cribrata (Waterhouse, 1882)" "SPECIES" "Globencya" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "LEAST_CONCERN"
"Globencya farafanganae" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 38.6410010092196 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Globencya farafanganae (Fairmaire, 1900)" "SPECIES" "Globencya" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "DATA_DEFICIENT"
"Globencya griveaudi" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 145.081945187823 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Globencya griveaudi Lacroix, 1993" "SPECIES" "Globencya" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "ENDANGERED"
"Globicornis corticalis" NA "Dermestidae" "Coleoptera" 3.889 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.928 1.467 0.735 0.823 0.068 0.882 0.218 0.083 1.308 NA 1.464 NA 3.252 0.863 4.269 2.001 7.154 25.872 123.44 NA "Globicornis corticalis (Eichhoff, 1863)" "SPECIES" "Globicornis" "Dermestidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Globicornis emarginata" NA "Dermestidae" "Coleoptera" 4.652 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2.566 1.833 0.824 0.899 0.061 0.661 0.132 0.067 1.646 1.84 1.904 NA 3.583 1.326 4.111 1.779 5.879 48.529 73.19 NA "Globicornis emarginata (Gyllenhal, 1808)" "SPECIES" "Globicornis" "Dermestidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Globicornis nigripes" NA "Dermestidae" "Coleoptera" 2.582 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.291 0.865 0.305 0.587 0.025 0.406 0.101 0.048 0.792 0.816 0.901 NA 2.018 0.628 2.576 1.135 2.306 37.39 110.27 NA "Globicornis nigripes (Fabricius, 1792)" "SPECIES" "Globicornis" "Dermestidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Glocianus punctiger" NA "Curculionidae" "Coleoptera" 2.8 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA NA 0 0 0 0 0 1 1 0 1 NA 0 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"Gnathotrichus materiarius" NA "Curculionidae" "Coleoptera" 3.341 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.139 1.079 0.577 0.794 0.043 0.608 0.183 0.139 0.943 0.901 0.894 NA 1.761 0.691 4.147 1.395 4.458 4.52 127.36 NA "Gnathotrichus materiarius Wood & Bright, 1992" "SPECIES" "Gnathotrichus" "Curculionidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gnorimus baborensis" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3891.36289756877 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gnorimus baborensis Bedel, 1919" "SPECIES" "Gnorimus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "ENDANGERED"
"Gnorimus decempunctatus" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2446.30666937309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gnorimus decempunctatus Helfer, 1833" "SPECIES" "Gnorimus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "ENDANGERED"
"Gnorimus nobilis" NA "Scarabaeidae" "Coleoptera" 19.468 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.281 8.046 4.02 3.713 1.048 1.515 1.409 0.421 6.914 8.903 10.635 NA 10.219 5.633 19.47 6.014 83.533 0.684 111.99 NA "Gnorimus nobilis (Linnaeus, 1758)" "SPECIES" "Gnorimus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gnorimus variabilis" NA "Scarabaeidae" "Coleoptera" 22.086 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 10.865 8.828 3.043 3.972 1.468 2.715 1.018 0.624 9.02 9.623 10.778 NA 11.187 5.405 19.695 6.669 100.989 9.064 NA NA "Gnorimus variabilis (Linnaeus, 1758)" "SPECIES" "Gnorimus" "Scarabaeidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gonioctena decemnotata" NA "Chrysomelidae" "Coleoptera" 6.1 NA NA 4.8 7.4 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA "monophagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 0 0 0 0 NA 0 0 0 NA 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "macroptery" NA NA NA NA NA NA NA NA "Gonioctena decemnotata (Marsham, 1802)" "SPECIES" "Gonioctena" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gonioctena olivacea" NA "Chrysomelidae" "Coleoptera" 4.75 NA NA 3.1 6.4 NA NA NA NA NA NA 0 1 0 0 0 0 0 1 NA NA "Herbivorous" NA "monophagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "macroptery" NA NA NA NA NA NA NA NA "Gonioctena olivacea (Forster, 1771)" "SPECIES" "Gonioctena" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gonioctena pallida" NA "Chrysomelidae" "Coleoptera" 6 NA NA 4.7 7.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Herbivorous" NA "polyphagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 1 1 0 1 NA 0 0 0 NA 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "dimorphy" NA NA NA NA NA NA NA NA "Gonioctena pallida (Linnaeus, 1758)" "SPECIES" "Gonioctena" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gonioctena viminalis" NA "Chrysomelidae" "Coleoptera" 6.2 NA NA 5.4 7 NA NA NA NA NA NA 0 1 0 0 NA NA NA NA NA NA "Herbivorous" NA "oligophagous" NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA NA NA 0 NA 0 1 1 0 1 NA 0 0 0 NA 1 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gonioctena viminalis (Linnaeus, 1758)" "SPECIES" "Gonioctena" "Chrysomelidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
"Gonodera metallica" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 63904.6514035421 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "Gonodera metallica (Küster, 1850)" "SPECIES" "Gonodera" "Tenebrionidae" "Coleoptera" "Insecta" "Arthropoda" "NEAR_THREATENED"
"Gracilia minuta" NA "Cerambycidae" "Coleoptera" 6.249 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.523 1.265 0.767 1.016 0.102 3.081 0.408 0.231 2.454 2.982 3.448 NA 4.277 0.708 5.521 2.11 9.033 37.228 128.58 NA "Gracilia minuta (Fabricius, 1781)" "SPECIES" "Gracilia" "Cerambycidae" "Coleoptera" "Insecta" "Arthropoda" "NOT_EVALUATED"
