"Species" "scientificName" "taxonRank" "GBIF_status" "GBIF_accepted" "Genus" "Family" "Order" "Class" "Phylum" "Group" "Source" "originCH" "originEUR" "swissRedListCategory" "europeanRegionalRedListCategory" "iucnRedListCategory" "EcoTer" "EcoFresh" "EcoMar" "Fos" "Ter" "Aqu" "Arb" "Aer" "Habitat_water" "Habitat_wetlands" "Habitat_rocks" "Habitat_grassland" "Habitat_forests" "Habitat_deciduous" "Habitat_coniferous" "Habitat_mixed" "Habitat_pioneer" "Habitat_urban" "Habitat_green_urban" "Habitat_agricultural" "Habitat_bushes" "Habitat_transitional" "Habitat_heathland" "Habitat_sand" "RangeSize_km2" "Growth" "Life_form" "Life_strategy" "Epiphyte" "Seta_caps" "Peristome" "Rhizoids" "Perm_proto" "Mating_type" "Sporophyte_freq" "Gen_length_y" "Seta_max_len_mm" "Gam_size_mm" "Spore_size_µm" "Veg_propagules" "Vp_max_size_µm" "Vp_gem" "Vp_tub" "Vp_bul" "Vp_lea" "vp_bra" "Vp_freq" "ROCKbet_substr" "WETsb_substr" "DRYsb_substr" "TUFAsb_substr" "CalROCKsb_substr" "CalrWETsb_substr" "CalrDRYsb_substr" "SilROCKsb_substr" "SilrWETsb_substr" "SilrDRYsb_substr" "HUMUSbet_substr" "HUMUSsb_substr" "BARKbet_substr" "BARKsb_substr" "DEADWbet_substr" "DEADWsb_substr" "nWOODYbet_substr" "nWOODYsb_substr" "ANIMALbet_substr" "ANIMALsb_substr" "MUDsb_substr" "SPECIALsb_substr" "EIVbet_Moisture" "EIVsb_Moisture" "EIVbet_pH" "EIVsb_pH" "EIVbet_Nutrients" "EIVbet_Na" "EIVbet_Temp" "EIVsb_Temp" "EIVbet_Light" "EIVsb_Light" "AnnuMeanTemp" "AnnuPrecip" "Elevation_low" "Elevation" "Elevation_up" "MISSING_ALL_TRAITS"
"Lewinskya pylaisii" "Lewinskya pylaisii (Brid.) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya pylaisii (Brid.) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 458157.22008921 "acrocarpous" "cushion" "colonist" 1 "erect" 1 1 0 "monoicous" "common" 6.7 9.164 20 23.5 0 350.52 0 0 0 0 0 "common" 1 1.05333333333333 17.16 0.04 0.56 0.88 7.94 1.38 1.22 19.84 0 1.4 1 80.72 0 11.62 0 0.4 0 0 0 0.24 2 2.32 0 2.12 3.28 0.92 1 2.6 9 3.04 0.35 1279.2 0 0 0 "NO"
"Lewinskya rupestris" "Lewinskya rupestris (Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya rupestris (Schleich. ex Schwägr.) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 785476.783495486 "acrocarpous" "cushion" "colonist" 0 "erect" 1 1 0 "monoicous" "occasional" 6.7 10.92 120 15.5 0 260.68 0 0 0 0 0 "common" 1 0 3 0 1 0 6 5 2 116 0 1 1 11 0 2 0 0 0 0 0 0 3 2 6 2 3 0 2 3 8 2 8.15 726.8 0 1500 3000 "NO"
"Lewinskya shawii" "Lewinskya shawii (Wilson) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya shawii (Wilson) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" NA 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 12452.7514164494 "acrocarpous" "cushion" "colonist" 1 "erect" 1 1 0 "monoicous" "common" 6.7 4.26 30 14 0 546.72 0 0 0 0 0 "common" 0 0 0.04 0 0 0.12 1.04 0 0 1.64 0 0 1 10.52 0 0.76 0 0.04 0 0 0 0.04 4.36 2.2 6 2.92 5.84 0 8.2 4.92 6 2.76 13.35 799.6 0 500 1000 "NO"
"Lewinskya sordida" "Lewinskya sordida (Sull. & Lesq.) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya sordida (Sull. & Lesq.) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "DD" NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 72402.148006106 "acrocarpous" "turf" "colonist" 1 "erect" 1 1 0 "monoicous" "common" 7.5 8.17 25.6896 17.2748 0 240.24 0 0 0 0 0 "common" 1 0.72 12.08 0 0.44 0.68 5.08 0.76 0.32 7.76 0 0.96 1 64.26 0 10.48 0 0.16 0 0.04 0 0.04 4.8 2.48 5.2 2.88 4.96 0 3.08 3.2 7.16 2.88 -8.55 734.1 30 315 600 "NO"
"Lewinskya speciosa" "Lewinskya speciosa (Nees) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya speciosa (Nees) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 474935.411293149 "acrocarpous" "turf" "shortLived_shuttle" 1 "erect" 1 1 0 "monoicous" "occasional" 6.7 7.36 31.25 34.5 0 287.76 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 6 0 0 1 4 0 2 0 0 0 0 0 0 5 2 5 2 5.12 0 2 3 7 2 5.55 712.2 0 1600 3200 "NO"
"Lewinskya speciosa aggr." "Lewinskya speciosa (Nees) F.Lara, Garilleti & Goffinet" "AGGREGATE" "accepted" "Lewinskya speciosa (Nees) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "EN bis LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 683533.133864738 "acrocarpous" "turf" "shortLived_shuttle" 1 "erect" 1 1 0 "monoicous" "occasional" 6.7 8.24 31.25 34.5 0 176.16 0 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 6 0 0 1 4 0 2 0 0 0 0 0 0 5 2 5 2 4.96 0 2 3 7 2 5.55 712.2 0 1600 3200 "NO"
"Lewinskya striata" "Lewinskya striata (Hedw.) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya striata (Hedw.) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 680416.065195071 "acrocarpous" "turf" "shortLived_shuttle" 1 "erect" 1 1 0 "monoicous" "occasional" 6.7 6.43 23.75 27 0 214.64 0 0 0 0 0 "common" 1 1 4 0 0 0 2 0 0 11 0 1 1 251 0 52 0 0 0 0 0 0 5 2 6 2 7 0 3 3 8 2 8.35 758.3 0 1100 2200 "NO"
"Lewinskya tortidontia" "Lewinskya tortidontia (F.Lara, Garilleti & Mazimpaka) F.Lara, Garilleti & Goffinet" "SPECIES" "accepted" "Lewinskya tortidontia (F.Lara, Garilleti & Mazimpaka) F.Lara, Garilleti & Goffinet" "Lewinskya" "Orthotrichaceae" "Orthotrichales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" NA 1 0 NA NA 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6015.67761980028 "acrocarpous" "turf" "colonist" 1 "erect" 1 1 0 "monoicous" "common" 6.7 5.17 15.5 16.5 0 324.88 0 0 0 0 0 "common" 0 0.56 9.02 0 0.56 1.52 11.84 0.2 0.36 10.16 0 0.44 1 87.52 0 9.16 0 0.16 0 0 0.04 0.16 3.8 2 6.16 3.2 5.88 0.16 7 4.08 7.12 2.84 11.35 652.4 260 1080 1900 "NO"
"Liochlaena lanceolata" "Liochlaena lanceolata Nees" "SPECIES" "accepted" "Liochlaena lanceolata Nees" "Liochlaena" "Jungermanniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "NT" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 246319.684339875 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "monoicous" "common" 6.7 11.42 23.75 14.5 1 57.72 1 0 0 0 0 "common" 1 3 3 0 1 2 3 1 0 0 1 5 1 0 1 32 0 0 0 0 0 0 6 4 1 3 3 0 3 3 4 2 5.15 715.2 0 1000 2000 "NO"
"Liochlaena subulata" "Liochlaena subulata (A.Evans) Schljakov" "SPECIES" "accepted" "Liochlaena subulata (A.Evans) Schljakov" "Liochlaena" "Delavayellaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "NT" "REGIONALLY_EXTINCT" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 426407.491973463 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "rare" 6.7 6.224 17.5 17 1 115.28 1 0 0 0 0 "common" 1 0.04 0.4 0 0.04 0.08 0.2 0 0 0.84 0 0.24 0 1.48 0 2.16 0 0.4 0 0 0 0 6 3.32 1 1.96 3 0 6 3.2 5 2.64 8.05 851.7 0 0 0 "NO"
"Loeskeobryum brevirostre" "Loeskeobryum brevirostre (Brid.) M.Fleisch." "SPECIES" "accepted" "Loeskeobryum brevirostre (Brid.) M.Fleisch." "Loeskeobryum" "Hylocomiaceae" "Bryales" "Bryopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 227685.863036265 "pleurocarpous" "weft" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 20.24 81 22.25 0 657.76 0 0 0 0 0 "common" 1 11 30 0 0 3 10 0 0 9 1 11 1 6 1 5 0 0 0 0 0 0 5 3 6 3.48 4 0 5 4 5 2 9.25 905.1 5 815 1625 "NO"
"Loeskypnum badium" "Loeskypnum badium (Hartm.) H.K.G.Paul" "SPECIES" "accepted" "Loeskypnum badium (Hartm.) H.K.G.Paul" "Loeskypnum" "Calliergonaceae" "Hypnales" "Bryopsida" "Bryophyta" "Bryophytes" "EEA" NA "No" NA "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 270236.596404551 "pleurocarpous" "turf" "perennial" 0 "inclined" 1 1 0 "dioicous" "occasional" 16.7 30 60 17.2 0 623.2 0 0 0 0 0 "common" 0 15.7733333333333 33.54 0.76 2.14 7.56 8.64 0.68 2.68 2.18 1 7.42 0 1.12 0 0.8 1 0.56 0 0 0.12 0.12 6.64 3.68 5.16 3.16 3.48 0.08 1.92 2.64 7.72 3.52 2.65 711.4 0 0 0 "NO"
"Lophocolea bidentata" "Lophocolea bidentata (L.) Dumort." "SPECIES" "accepted" "Lophocolea bidentata (L.) Dumort." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117943.073852868 "foliose" "turf" "perennial" 0 "erect" 0 1 0 "dioicous" "occasional" 16.7 26.6 15 15 0 491.68 0 0 0 0 0 "common" 1 45.5 115.5 1 4 11 12 7 2 7 1 11.5 1 18 1 82 0 5 0 0 0 2 6 3 5 3 5.36 0 3 3 7 3 5.55 713.3 0 405 810 "NO"
"Lophocolea bidentata subsp. bidentata" "Lophocolea bidentata var. bidentata" "SUBSPECIES" "synonym" "Lophocolea bidentata (L.) Dumort." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "InfoSpecies" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47965.4307224013 "foliose" "turf" "perennial" 0 "erect" 0 1 0 "dioicous" "occasional" 16.7 25.34 15 15 0 448.8 0 0 0 0 0 "common" 1 45.5 115.5 1 4 11 12 7 2 7 1 11.5 1 18 1 82 0 5 0 0 0 2 6 3 5 3 5.04 0 3 3 7 3 5.55 713.3 0 405 810 "NO"
"Lophocolea bidentata var. bidentata" "Lophocolea bidentata var. bidentata" "VARIETY" "synonym" "Lophocolea bidentata (L.) Dumort." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "FaunaEuropeae" "INN" "No" "LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 46880.1009954126 "foliose" "turf" "perennial" 0 "erect" 0 1 0 "dioicous" "occasional" 16.7 24.6 15 15 0 593.28 0 0 0 0 0 "common" 1 45.5 115.5 1 4 11 12 7 2 7 1 11.5 1 18 1 82 0 5 0 0 0 2 6 3 5 3 5.16 0 3 3 7 3 5.55 713.3 0 405 810 "NO"
"Lophocolea bispinosa" "Lophocolea bispinosa (Hook.f. & Taylor) Gottsche, Lindenb. & Nees" "SPECIES" "accepted" "Lophocolea bispinosa (Hook.f. & Taylor) Gottsche, Lindenb. & Nees" "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA NA NA 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 29491.7572635718 "foliose" "weft" "colonist" 1 "erect" 0 1 0 "dioicous" "occasional" 6.7 10.38 15 12 0 184.88 0 0 0 0 0 "common" 1 2.88 27.32 0.08 0.52 0.64 3.98 0.64 1.12 8.12 1 2.96 1 57.66 1 47.1 0 2.36 0 0 0 0.08 5.68 3.08 4 2.2 3.72 0 6.32 3.88 6 2.4 10.65 921.7 10 170 330 "NO"
"Lophocolea brookwoodiana" "Lophocolea brookwoodiana Paton & Sheahan" "SPECIES" "accepted" "Lophocolea brookwoodiana Paton & Sheahan" "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "Yes" NA "DD" "DATA_DEFICIENT" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.51441731778181 "foliose" "mat" "perennial" 0 "erect" 0 1 0 "dioicous" "rare" 16.7 7.18 20 16.53 0 544.84 0 0 0 0 0 "common" 0 4.6 10.24 0.08 0.42 1.4 1.44 0.4 0.68 1.72 1 2.32 0 1.04 0 2.16 0 0.88 0 0 0 0.08 6.2 3.08 4 2.4 3.64 0 7.44 4.04 6 3.04 10.45 722.6 50 50 50 "NO"
"Lophocolea coadunata" "Lophocolea coadunata (Sw.) Mont." "SPECIES" "accepted" "Lophocolea coadunata (Sw.) Mont." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "LC" NA 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36379.8531567671 "foliose" "mat" "perennial" 0 "erect" 0 1 0 "monoicous" "common" 16.7 10.28 60 15 0 491.88 0 0 0 0 0 "common" 1 4.33333333333333 24.36 0.12 0.76 0.84 2.4 0.56 0.72 2.44 1 2.48 0 2.36 0 4.96 0 1.04 0 0 0.04 0.2 6.04 3.16 4.04 2.44 3.84 0 4.44 3.16 5.56 2.96 8.35 690 100 650 1200 "NO"
"Lophocolea fragrans" "Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees" "SPECIES" "accepted" "Lophocolea fragrans (Moris & De Not.) Gottsche, Lindenb. & Nees" "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 568805.284258104 "foliose" "mat" "perennial" 1 "erect" 0 1 0 "monoicous" "common" 16.7 19.44 20 13 1 350.8 1 0 0 0 0 "occasional" 1 7.78 120.18 0.08 2.64 3.78 21.44 3.72 4.9 49.6 1 16.8 1 162.14 1 192.2 0 8.52 0 0.08 0.08 0.96 0 2.88 0 2.16 3 0 0 2.88 0 1.64 10.55 1176.1 0 700 1400 "NO"
"Lophocolea heterophylla" "Lophocolea heterophylla (Schrad.) Dumort." "SPECIES" "accepted" "Lophocolea heterophylla (Schrad.) Dumort." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 333222.694473857 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "monoicous" "common" 6.7 8.48 21.67 14 1 122.88 1 0 0 0 0 "common" 1 2 108 0 0 1 6 0 0 10 1 9 1 51 1 198 0 0 0 0 0 0 4 3 3 2 4 0 3 3 4 2 5.75 701.9 0 437.5 875 "NO"
"Lophocolea heterophylla aggr." "Lophocolea heterophylla (Schrad.) Dumort." "AGGREGATE" "accepted" "Lophocolea heterophylla (Schrad.) Dumort." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "alle LC" "LC" "NOT_EVALUATED" 1 0 NA NA 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 383756.025462057 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "monoicous" "common" 6.7 9.52 21.67 14 1 86.16 1 0 0 0 0 "common" 1 2 108 0 0 1 6 0 0 10 1 9 1 51 1 198 0 0 0 0 0 0 4 3 3 2 4 0 3 3 4 2 5.75 701.9 0 437.5 875 "NO"
"Lophocolea heterophylla subsp. heterophylla" "Lophocolea heterophylla subsp. heterophylla" "SUBSPECIES" "accepted" "Lophocolea heterophylla subsp. heterophylla" "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" NA "LC" NA NA 1 0 NA NA 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 374832.551614776 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "rare" 7.1 16.96 25.6768 14.55 1 135.44 1 0 0 0 0 "common" 1 5 154 0 0 0 8 1 1 8 1 25 1 122 1 652 0 6 0 0 0 0 5.32 3 2.88 2 3.36 0 3.6 3 4.56 2 6.774 823.334 26.8 739.68 1427.4 "NO"
"Lophocolea minor" "Lophocolea minor Nees" "SPECIES" "accepted" "Lophocolea minor Nees" "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 308427.592885142 "foliose" "weft" "colonist" 0 "erect" 0 1 0 "both" "rare" 6.7 13.68 39 12.5 1 404.68 1 0 0 0 0 "common" 1 5 176 0 6 2 19 1 3 17 1 4 1 17 1 24 0 3 0 0 0 1 5 3 7 3 4 0 3 3 6 3 5.35 708.4 0 1400 2800 "NO"
"Lophocolea semiteres" "Lophocolea semiteres (Lehm.) Mitt." "SPECIES" "accepted" "Lophocolea semiteres (Lehm.) Mitt." "Lophocolea" "Lophocoleaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA NA "NOT_APPLICABLE" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 844786.265632842 "foliose" "weft" "colonist" 0 "erect" 0 1 0 "dioicous" "common" 6.7 19.52 45 16.75 1 517.28 1 0 0 0 0 "common" 1 11.68 168 0.16 3.34 3.84 30 5.46 6.52 42.8 1 18.64 1 59.42 1 159.64 0 5.16 0 0 0 1.2 0 3 0 2.12 3.16 0 0 2.96 0 1.88 9.85 864.2 0 172.5 345 "NO"
"Lophozia ascendens" "Lophozia ascendens (Warnst.) R.M.Schust." "SPECIES" "accepted" "Lophozia ascendens (Warnst.) R.M.Schust." "Lophozia" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "VULNERABLE" 1 0 NA NA 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 502703.2914077 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "rare" 6.7 12.1 7 9.5 1 189.52 1 0 0 0 0 "common" 0 0 4 0 0 0 0 0 0 0 0 2 1 7 1 62 0 2 0 0 0 0 6 3 2 2 3 0 3 2 4 2 4.55 864.4 0 1100 2200 "NO"
"Lophozia bicrenata" "Lophozia bicrenata (Schmidel ex Hoffm.) Dumort." "SPECIES" "heterotypic synonym" "Isopaches bicrenatus (Schmidel ex Hoffm.) H.Buch" "Isopaches" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "VU" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 728174.570822825 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "monoicous" "common" 6.7 6.44 8 14 1 84.08 1 0 0 0 0 "common" 1 3 15 0 0 0 0 5 0 1 1 2 0 0 1 1 0 0 0 0 0 0 3 2 2 2 2 0 0 3 8 4 8.45 834 10 1005 2000 "NO"
"Lophozia ciliata" "Lophozia ciliata Damsh., L.Söderstr. & H.Weibull" "SPECIES" "accepted" "Lophozia ciliata Damsh., L.Söderstr. & H.Weibull" "Lophozia" "Lophoziaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "EEA" NA "No" NA "NT" "LEAST_CONCERN" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 215656.816829801 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "common" 6.7 8.9 3.5 13 1 167.52 1 0 0 0 0 "common" 0 0.4 2.56 0 0 0.16 0.32 0.16 0.36 0.88 0 1.2 1 1.28 1 3.6 0 0.88 0 0 0 0.04 5.64 3.18 1.84 1.92 2.48 0 3.36 2.64 6.16 3.12 2.75 839 10 405 800 "NO"
"Lophozia decolorans" "Lophozia decolorans (Limpr.) Steph." "SPECIES" "heterotypic synonym" "Isopaches decolorans (Limpr.) H.Buch" "Isopaches" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "VU" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 190415.458153086 "foliose" "mat" "colonist" 0 "erect" 0 1 0 "dioicous" "occasional" 6.7 7.86 4.5 13.5 1 141.52 1 0 0 0 0 "common" 0 0 18 0 1 0 0 8 0 1 1 0 0 0 0 0 0 0 0 0 0 0 5 2 2 2 2.36 0 1 1 7 5 0.25 743.1 800 1900 3000 "NO"
"Lophozia excisa" "Lophozia excisa (Dicks.) Dumort." "SPECIES" "heterotypic synonym" "Lophoziopsis excisa (Dicks.) Konstant. & Vilnet" "Lophoziopsis" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "CRITICALLY_ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 222162.082011519 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "monoicous" "common" 6.7 9.6 11.25 14.5 1 206 1 0 0 0 0 "common" 1 3.68 32.58 0 0.44 0.76 1.28 2.68 2.8 7.64 1 5 1 3.36 1 23.96 1 0.88 0 0 0 0.16 5 3 5 2 3 0 3 3 7 3 7.25 832.8 0 1600 3200 "NO"
"Lophozia grandiretis" "Lophozia grandiretis (Lindb. ex Kaal.) Schiffn." "SPECIES" "heterotypic synonym" "Protochilopsis grandiretis (Lindb. ex Kaal.) A.V.Troitsky, Bakalin & Fedosov" "Protochilopsis" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "InfoSpecies" "INN" "No" "VU" "LC" "REGIONALLY_EXTINCT" 1 0 NA NA 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 229816.364243445 "foliose" "mat" "colonist" 0 "erect" 0 1 0 "dioicous" "rare" 6.7 10.004 30 19 1 220.68 1 0 0 0 0 "common" 0 2 13 0 0 0 0 0 0 0 1 6 0 0 0 1 0 0 0 0 0 0 7 4 2 3 2.52 0 1 1 8 3 0.55 829 100 1050 2000 "NO"
"Lophozia guttulata" "Lophozia guttulata (Lindb. & Arnell) A.Evans" "SPECIES" "accepted" "Lophozia guttulata (Lindb. & Arnell) A.Evans" "Lophozia" "Lophoziaceae" "Jungermanniales" "Jungermanniopsida" "Marchantiophyta" "Bryophytes" "InfoSpecies" NA "No" "LC" "LC" "ENDANGERED" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 607288.065719857 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "rare" 6.7 7.92 12.5 14 1 125.16 1 0 0 0 0 "common" 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 6 3.4 1 1.68 3 0 2 1.76 7 3.72 1.75 798.7 0 1000 2000 "NO"
"Lophozia incisa" "Lophozia incisa (Schrad.) Dumort." "SPECIES" "heterotypic synonym" "Schistochilopsis incisa (Schrad.) Konstant." "Schistochilopsis" "Scapaniaceae" "Jungermanniales" "Jungermanniopsida" "Bryophyta" "Bryophytes" "SPEED2ZERO" "INN" "No" "LC" "LC" "REGIONALLY_EXTINCT" 1 0 NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 337435.182957662 "foliose" "turf" "colonist" 0 "erect" 0 1 0 "dioicous" "occasional" 6.7 18.8 9.67 13.25 1 23 1 0 0 0 0 "common" 1 7 48 0 0 1 2 1 2 6 1 8 1 4 1 90 1 5 0 0 0 0 6 4 2 2 2.8 0 2 1 6 3 5.05 717 0 1550 3100 "NO"
