species,genus,family,order,class,scheme
Lunaria rediviva,Lunaria,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Lunularia cruciata cruciata,Lunularia,Lunulariaceae,Lunulariales,Marchantiopsida,terrestrial
Luperina testacea,Luperina,Noctuidae,Lepidoptera,Insecta,terrestrial
Lupinus polyphyllus,Lupinus,Fabaceae,Fabales,Magnoliopsida,terrestrial
Luscinia megarhynchos,Luscinia,Muscicapidae,Passeriformes,Aves,terrestrial
Lutra lutra,Lutra,Mustelidae,Carnivora,Mammalia,aquatic
Luzula alpina,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula alpinopilosa,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula campestris,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula forsteri,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula lutea,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula luzulina,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula luzuloides,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula luzuloides luzuloides,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula multiflora,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula nivea,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula pilosa,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula sieberi,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula spicata,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula spicata mutabilis,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula sudetica,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Luzula sylvatica,Luzula,Juncaceae,Poales,Liliopsida,terrestrial
Lycaena alciphron,Lycaena,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena dispar,Lycaena,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena helle,Helleia,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena hippothoe,Lycaena,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena hippothoe euridice,Palaeochrysophanus,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena phlaeas,Lycaena,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena tityrus,Loweia,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena tityrus subalpinus,Loweia,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycaena virgaureae,Lycaena,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lycogala epidendrum,Lycogala,Tubiferaceae,Cribrariales,Myxomycetes,terrestrial
Lycoperdon echinatum,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon foetidum,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon lividum,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon mammiforme,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon molle,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon perlatum,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon pyriforme,Apioperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycoperdon umbrinum,Lycoperdon,Lycoperdaceae,Agaricales,Agaricomycetes,terrestrial
Lycopersicon esculentum,Lycopersicon,Solanaceae,Solanales,Angiospermae,terrestrial
Lycophotia porphyrea,Lycophotia,Noctuidae,Lepidoptera,Insecta,terrestrial
Lycopodiella inundata,Lycopodiella,Lycopodiaceae,Lycopodiales,Lycopodiopsida,terrestrial
Lycopodium annotinum,Spinulum,Lycopodiaceae,Lycopodiales,Lycopodiopsida,terrestrial
Lycopodium clavatum,Lycopodium,Lycopodiaceae,Lycopodiales,Lycopodiopsida,terrestrial
Lycopodium clavatum clavatum,Lycopodium,Lycopodiaceae,Lycopodiales,Lycopodiopsida,terrestrial
Lycopus europaeus,Lycopus,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Lygephila craccae,Lygephila,Erebidae,Lepidoptera,Insecta,terrestrial
Lygephila lusoria,Lygephila,Erebidae,Lepidoptera,Insecta,terrestrial
Lygephila pastinum,Lygephila,Erebidae,Lepidoptera,Insecta,terrestrial
Lygephila viciae,Lygephila,Erebidae,Lepidoptera,Insecta,terrestrial
Lygistopterus sanguineus sanguineus,Lygistopterus,Lycidae,Coleoptera,Insecta,terrestrial
Lymantria dispar,Lymantria,Erebidae,Lepidoptera,Insecta,terrestrial
Lymantria monacha,Lymantria,Erebidae,Lepidoptera,Insecta,terrestrial
Lymnaea stagnalis,Lymnaea,Lymnaeidae,Pulmonata,Gastropoda,terrestrial
Lynx lynx,Lynx,Felidae,Carnivora,Mammalia,terrestrial
Lyophyllum connatum,Leucocybe,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum decastes,Lyophyllum,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum deliberatum,Lyophyllum,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum fumosum,Lyophyllum,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum leucophaeatum,Calocybe,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum loricatum,Lyophyllum,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lyophyllum paelochroum,Lyophyllum,Lyophyllaceae,Agaricales,Agaricomycetes,terrestrial
Lype phaeopa,Lype,Psychomyiidae,Trichoptera,Insecta,terrestrial
Lype reducta,Lype,Psychomyiidae,Trichoptera,Insecta,aquatic
Lyrurus tetrix,Lyrurus,Phasianidae,Galliformes,Aves,terrestrial
Lysandra bellargus,Lysandra,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lysandra coridon,Lysandra,Lycaenidae,Lepidoptera,Insecta,terrestrial
Lysimachia nemorum,Lysimachia,Primulaceae,Ericales,Magnoliopsida,terrestrial
Lysimachia nummularia,Lysimachia,Primulaceae,Ericales,Magnoliopsida,terrestrial
Lysimachia punctata,Lysimachia,Primulaceae,Ericales,Magnoliopsida,terrestrial
Lysimachia thyrsiflora,Lysimachia,Primulaceae,Ericales,Magnoliopsida,terrestrial
Lysimachia vulgaris,Lysimachia,Primulaceae,Ericales,Magnoliopsida,terrestrial
Lythrum hyssopifolia,Lythrum,Lythraceae,Myrtales,Magnoliopsida,terrestrial
Lythrum salicaria,Lythrum,Lythraceae,Myrtales,Magnoliopsida,terrestrial
Lytta vesicatoria,Lytta,Meloidae,Coleoptera,Insecta,terrestrial
Macdunnoughia confusa,Macdunnoughia,Noctuidae,Lepidoptera,Insecta,terrestrial
Macrargus rufus,Macrargus,Linyphiidae,Araneae,Arachnida,terrestrial
Macrocystidia cucumis,Macrocystidia,Macrocystidiaceae,Agaricales,Agaricomycetes,terrestrial
Macrogastra attenuata lineolata,Macrogastra,Clausiliidae,Stylommatophora,Gastropoda,terrestrial
Macrogastra plicatula,Macrogastra,Clausiliidae,Stylommatophora,Gastropoda,terrestrial
Macrogastra ventricosa,Macrogastra,Clausiliidae,Stylommatophora,Gastropoda,terrestrial
Macroglossum stellatarum,Macroglossum,Sphingidae,Lepidoptera,Insecta,terrestrial
Macrolepiota excoriata,Macrolepiota,Agaricaceae,Agaricales,Agaricomycetes,terrestrial
Macrolepiota konradii,Macrolepiota,Agaricaceae,Agaricales,Agaricomycetes,terrestrial
Macrolepiota procera,Macrolepiota,Agaricaceae,Agaricales,Agaricomycetes,terrestrial
Macropis europaea,Macropis,Melittidae,Hymenoptera,Insecta,terrestrial
Macropis fulvipes,Macropis,Melittidae,Hymenoptera,Insecta,terrestrial
Macrothylacia rubi,Macrothylacia,Lasiocampidae,Lepidoptera,Insecta,terrestrial
Macrotyphula filiformis,Typhula,Typhulaceae,Agaricales,Agaricomycetes,terrestrial
Macrotyphula fistulosa,Typhula,Typhulaceae,Agaricales,Agaricomycetes,terrestrial
Macularia sylvatica,Macularia,Helicidae,Stylommatophora,Gastropoda,terrestrial
Mahonia aquifolium,Mahonia,Berberidaceae,Ranunculales,Magnoliopsida,terrestrial
Maianthemum bifolium,Maianthemum,Asparagaceae,Asparagales,Liliopsida,terrestrial
Malachius aeneus,Malachius,Melyridae,Coleoptera,Insecta,terrestrial
Malachius bipustulatus,Malachius,Melyridae,Coleoptera,Insecta,terrestrial
Malacolimax tenellus,Malacolimax,Limacidae,Stylommatophora,Gastropoda,terrestrial
Malacosoma alpicola,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,terrestrial
Malacosoma castrensis,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,terrestrial
Malacosoma neustria,Malacosoma,Lasiocampidae,Lepidoptera,Insecta,terrestrial
Malaxis monophyllos,Malaxis,Orchidaceae,Asparagales,Liliopsida,terrestrial
Malthinus flaveolus,Malthinus,Cantharidae,Coleoptera,Insecta,terrestrial
Malthodes marginatus,Malthodes,Cantharidae,Coleoptera,Insecta,terrestrial
Malus pumila,Malus,Rosaceae,Rosales,Angiospermae,terrestrial
Malus sylvestris,Malus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Malva alcea,Malva,Malvaceae,Malvales,Magnoliopsida,terrestrial
Malva moschata,Malva,Malvaceae,Malvales,Magnoliopsida,terrestrial
Malva neglecta,Malva,Malvaceae,Malvales,Magnoliopsida,terrestrial
Malva sylvestris,Malva,Malvaceae,Malvales,Magnoliopsida,terrestrial
Mamestra brassicae,Mamestra,Noctuidae,Lepidoptera,Insecta,terrestrial
Mangora acalypha,Mangora,Araneidae,Araneae,Arachnida,terrestrial
Maniola jurtina,Maniola,Nymphalidae,Lepidoptera,Insecta,terrestrial
Mantis religiosa,Mantis,Mantidae,Mantodea,Insecta,terrestrial
Marasmiellus ramealis,Collybiopsis,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Marasmiellus vaillantii,Collybiopsis,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius alliaceus,Mycetinis,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius bulliardii,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius cohaerens,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius epiphyllus,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius oreades,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius rotula,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius scorodonius,Mycetinis,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius setosus,Rhizomarasmius,Physalacriaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius torquescens,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius wettsteinii,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marasmius wynneae,Marasmius,Marasmiaceae,Agaricales,Agaricomycetes,terrestrial
Marchantia polymorpha,Marchantia,Marchantiaceae,Marchantiales,Marchantiopsida,terrestrial
Mareca strepera,Mareca,Anatidae,Anseriformes,Aves,terrestrial
Margarinotus ventralis,Margarinotus,Histeridae,Coleoptera,Insecta,terrestrial
Marmota marmota,Marmota,Sciuridae,Rodentia,Mammalia,terrestrial
Marpissa muscosa,Marpissa,Salticidae,Araneae,Arachnida,terrestrial
Marsupella emarginata,Marsupella,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,terrestrial
Marsupella sphacelata,Marsupella,Gymnomitriaceae,Jungermanniales,Jungermanniopsida,terrestrial
Martes foina,Martes,Mustelidae,Carnivora,Mammalia,terrestrial
Martes martes,Martes,Mustelidae,Carnivora,Mammalia,terrestrial
Maso sundevalli,Maso,Linyphiidae,Araneae,Arachnida,terrestrial
Massaria inquinans,Massaria,Massariaceae,Pleosporales,Dothideomycetes,terrestrial
Matricaria chamomilla,Matricaria,Asteraceae,Asterales,Magnoliopsida,terrestrial
Matricaria discoidea,Matricaria,Asteraceae,Asterales,Magnoliopsida,terrestrial
Matteuccia struthiopteris,Matteuccia,Onocleaceae,Polypodiales,Polypodiopsida,terrestrial
Matthiola valesiaca,Matthiola,Brassicaceae,Brassicales,Magnoliopsida,terrestrial
Meconema meridionale,Meconema,Tettigoniidae,Orthoptera,Insecta,terrestrial
Meconema thalassinum,Meconema,Tettigoniidae,Orthoptera,Insecta,terrestrial
Meconopsis cambrica,Papaver,Papaveraceae,Ranunculales,Magnoliopsida,terrestrial
Mecostethus parapleurus,Mecostethus,Acrididae,Orthoptera,Insecta,terrestrial
Medicago arabica,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Medicago falcata,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Medicago lupulina,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Medicago minima,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Medicago sativa,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Medicago x varia,Medicago,Fabaceae,Fabales,Magnoliopsida,terrestrial
Meesia uliginosa,Meesia,Meesiaceae,Splachnales,Bryopsida,terrestrial
Megachile alpicola,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile analis,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile centuncularis,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile circumcincta,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile ericetorum,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile lagopoda,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile ligniseca,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile maritima,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile melanopyga,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile nigriventris,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile parietina,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile pilidens,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile pyrenaea,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile pyrenaica,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile rotundata,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile versicolor,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megachile willughbiella,Megachile,Megachilidae,Hymenoptera,Insecta,terrestrial
Megacollybia platyphylla,Megacollybia,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Megalocystidium lactescens,Gloiothele,Peniophoraceae,Russulales,Agaricomycetes,terrestrial
Megalocystidium luridum,Gloeocystidiellum,Stereaceae,Russulales,Agaricomycetes,terrestrial
Meganola albula,Meganola,Nolidae,Lepidoptera,Insecta,terrestrial
Meganola strigula,Meganola,Nolidae,Lepidoptera,Insecta,terrestrial
Megaspora verrucosa,Megaspora,Megasporaceae,Pertusariales,Lecanoromycetes,terrestrial
Megatoma undata,Megatoma,Dermestidae,Coleoptera,Insecta,terrestrial
Melampophylax melampus,Melampophylax,Limnephilidae,Trichoptera,Insecta,terrestrial
Melampophylax mucoreus,Melampophylax,Limnephilidae,Trichoptera,Insecta,aquatic
Melampsora euphorbiae,Melampsora,Melampsoraceae,Pucciniales,Pucciniomycetes,terrestrial
Melampsoridium hiratsukanum,Melampsoridium,Pucciniastraceae,Pucciniales,Pucciniomycetes,terrestrial
Melampyrum arvense,Melampyrum,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Melampyrum cristatum,Melampyrum,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Melampyrum nemorosum,Melampyrum,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Melampyrum pratense,Melampyrum,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Melampyrum sylvaticum,Melampyrum,Orobanchaceae,Lamiales,Magnoliopsida,terrestrial
Melanargia galathea,Melanargia,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melanchra persicariae,Melanchra,Noctuidae,Lepidoptera,Insecta,terrestrial
Melanchra pisi,Ceramica,Noctuidae,Lepidoptera,Insecta,terrestrial
Melandrya caraboides,Melandrya,Melandryidae,Coleoptera,Insecta,terrestrial
Melanogaster broomeanus,Melanogaster,Paxillaceae,Boletales,Agaricomycetes,terrestrial
Melanoleuca brevipes,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca cognata,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca exscissa,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca graminicola,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca grammopodia,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca humilis,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca melaleuca,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca polioleuca,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca stridula,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca subalpina,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanoleuca verrucipes,Melanoleuca,Tricholomataceae,Agaricales,Agaricomycetes,terrestrial
Melanophyllum haematospermum,Melanophyllum,Agaricaceae,Agaricales,Agaricomycetes,terrestrial
Melanotus castanipes,Melanotus,Elateridae,Coleoptera,Insecta,terrestrial
Melanotus crassicollis,Melanotus,Elateridae,Coleoptera,Insecta,terrestrial
Melanotus punctolineatus,Melanotus,Elateridae,Coleoptera,Insecta,terrestrial
Melanotus villosus,Melanotus,Elateridae,Coleoptera,Insecta,terrestrial
Melasis buprestoides,Melasis,Eucnemidae,Coleoptera,Insecta,terrestrial
Melastiza chateri,Melastiza,Pyronemataceae,Pezizales,Pezizomycetes,terrestrial
Melecta albifrons,Melecta,Apidae,Hymenoptera,Insecta,terrestrial
Meles meles,Meles,Mustelidae,Carnivora,Mammalia,terrestrial
Melica ciliata,Melica,Poaceae,Poales,Liliopsida,terrestrial
Melica nutans,Melica,Poaceae,Poales,Liliopsida,terrestrial
Melica uniflora,Melica,Poaceae,Poales,Liliopsida,terrestrial
Melilotus albus,Melilotus,Fabaceae,Fabales,Magnoliopsida,terrestrial
Melilotus altissimus,Melilotus,Fabaceae,Fabales,Magnoliopsida,terrestrial
Melilotus officinalis,Melilotus,Fabaceae,Fabales,Magnoliopsida,terrestrial
Melinopterus prodromus,Melinopterus,Scarabaeidae,Coleoptera,Insecta,terrestrial
Melinopterus sphacelatus,Melinopterus,Scarabaeidae,Coleoptera,Insecta,terrestrial
Melissa officinalis,Melissa,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Melitaea asteria,Mellicta,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea aurelia,Mellicta,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea celadussa,Mellicta,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea cinxia,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea deione,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea diamina,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea didyma,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea parthenoides,Mellicta,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea phoebe,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitaea varia,Melitaea,Nymphalidae,Lepidoptera,Insecta,terrestrial
Melitta haemorrhoidalis,Melitta,Melittidae,Hymenoptera,Insecta,terrestrial
Melitta leporina,Melitta,Melittidae,Hymenoptera,Insecta,terrestrial
Melitta nigricans,Melitta,Melittidae,Hymenoptera,Insecta,terrestrial
Melitta tricincta,Melitta,Melittidae,Hymenoptera,Insecta,terrestrial
Melittis melissophyllum,Melittis,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Melitturga clavicornis,Melitturga,Andrenidae,Hymenoptera,Insecta,terrestrial
Meloe proscarabaeus,Meloe,Meloidae,Coleoptera,Insecta,terrestrial
Meloe violaceus,Meloe,Meloidae,Coleoptera,Insecta,terrestrial
Melogramma campylosporum,Melogramma,Melogrammataceae,Xylariales,Sordariomycetes,terrestrial
Melolontha hippocastani hippocastani,Melolontha,Scarabaeidae,Coleoptera,Insecta,terrestrial
Melolontha melolontha,Melolontha,Scarabaeidae,Coleoptera,Insecta,terrestrial
Menegazzia terebrata,Menegazzia,Parmeliaceae,Lecanorales,Lecanoromycetes,terrestrial
Mentha aquatica,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Mentha arvensis,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Mentha longifolia,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Mentha spicata,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Mentha suaveolens,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Mentha x piperita,Mentha,Lamiaceae,Lamiales,Magnoliopsida,terrestrial
Menyanthes trifoliata,Menyanthes,Menyanthaceae,Asterales,Magnoliopsida,aquatic
Mercurialis annua,Mercurialis,Euphorbiaceae,Malpighiales,Magnoliopsida,terrestrial
Mercurialis perennis,Mercurialis,Euphorbiaceae,Malpighiales,Magnoliopsida,terrestrial
Merdigera obscura,Merdigera,Enidae,Stylommatophora,Gastropoda,terrestrial
Mergus merganser,Mergus,Anatidae,Anseriformes,Aves,terrestrial
Meripilus giganteus,Meripilus,Meripilaceae,Polyporales,Agaricomycetes,terrestrial
Merismodes anomala,Merismodes,Niaceae,Agaricales,Agaricomycetes,terrestrial
Merismodes fasciculata,Merismodes,Niaceae,Agaricales,Agaricomycetes,terrestrial
Mermessus trilobatus,Mermessus,Linyphiidae,Araneae,Arachnida,terrestrial
Merops apiaster,Merops,Meropidae,Coraciiformes,Aves,terrestrial
Meruliopsis corium,Byssomerulius,Irpicaceae,Polyporales,Agaricomycetes,terrestrial
Meruliopsis taxicola,Meruliopsis,Irpicaceae,Polyporales,Agaricomycetes,terrestrial
Merulius tremellosus,Phlebia,Meruliaceae,Polyporales,Agaricomycetes,terrestrial
Mesapamea didyma,Mesapamea,Noctuidae,Lepidoptera,Insecta,terrestrial
Mesapamea secalis,Mesapamea,Noctuidae,Lepidoptera,Insecta,terrestrial
Mesogona oxalina,Mesogona,Noctuidae,Lepidoptera,Insecta,terrestrial
Mesoligia furuncula,Mesoligia,Noctuidae,Lepidoptera,Insecta,terrestrial
Mesoligia literosa,Litoligia,Noctuidae,Lepidoptera,Insecta,terrestrial
Mesophylax impunctatus,Mesophylax,Limnephilidae,Trichoptera,Insecta,terrestrial
Mesoptychia badensis,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,terrestrial
Mesoptychia bantriensis,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,terrestrial
Mesoptychia collaris,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,terrestrial
Mesoptychia heterocolpos,Mesoptychia,Jungermanniaceae,Jungermanniales,Jungermanniopsida,terrestrial
Mesosa nebulosa,Mesosa,Cerambycidae,Coleoptera,Insecta,terrestrial
Mespilus germanica,Mespilus,Rosaceae,Rosales,Magnoliopsida,terrestrial
Meta menardi,Meta,Tetragnathidae,Araneae,Arachnida,terrestrial
Metanoea flavipennis,Metanoea,Limnephilidae,Trichoptera,Insecta,aquatic
Metanoea rhaetica,Metanoea,Limnephilidae,Trichoptera,Insecta,aquatic
Metellina mengei,Metellina,Tetragnathidae,Araneae,Arachnida,terrestrial
Metellina merianae,Metellina,Tetragnathidae,Araneae,Arachnida,terrestrial
Metellina segmentata,Metellina,Tetragnathidae,Araneae,Arachnida,terrestrial
Methorasa latreillei,Callopistria,Noctuidae,Lepidoptera,Insecta,terrestrial
Metrioptera bicolor,Bicolorana,Tettigoniidae,Orthoptera,Insecta,terrestrial
Metrioptera brachyptera,Metrioptera,Tettigoniidae,Orthoptera,Insecta,terrestrial
Metrioptera fedtschenkoi minor,Roeseliana,Tettigoniidae,Orthoptera,Insecta,terrestrial
Metrioptera roeselii,Roeseliana,Tettigoniidae,Orthoptera,Insecta,terrestrial
Metrioptera saussuriana,Metrioptera,Tettigoniidae,Orthoptera,Insecta,terrestrial
Metzgeria conjugata,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Metzgeria conjugata conjugata,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Metzgeria consanguinea,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Metzgeria furcata,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Metzgeria pubescens,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Metzgeria violacea,Metzgeria,Metzgeriaceae,Metzgeriales,Jungermanniopsida,terrestrial
Meum athamanticum,Meum,Apiaceae,Apiales,Magnoliopsida,terrestrial
Micarea denigrata,Micarea,Byssolomataceae,Lecanorales,Lecanoromycetes,terrestrial
Micarea peliocarpa,Micarea,Byssolomataceae,Lecanorales,Lecanoromycetes,terrestrial
Micarea prasina,Micarea,Byssolomataceae,Lecanorales,Lecanoromycetes,terrestrial
Micaria pulicaria,Micaria,Gnaphosidae,Araneae,Arachnida,terrestrial
Micrargus herbigradus,Micrargus,Linyphiidae,Araneae,Arachnida,terrestrial
Micrargus subaequalis,Micrargus,Linyphiidae,Araneae,Arachnida,terrestrial
Microbregma emarginatum,Microbregma,Anobiidae,Coleoptera,Insecta,terrestrial
Microlejeunea ulicina,Microlejeunea,Lejeuneaceae,Porellales,Jungermanniopsida,terrestrial
Microlestes maurus maurus,Microlestes,Carabidae,Coleoptera,Insecta,terrestrial
Microlestes minutulus,Microlestes,Carabidae,Coleoptera,Insecta,terrestrial
Microlinyphia pusilla,Microlinyphia,Linyphiidae,Araneae,Arachnida,terrestrial
Micrommata virescens,Micrommata,Sparassidae,Araneae,Arachnida,terrestrial
Micromphale perforans,Paragymnopus,Omphalotaceae,Agaricales,Agaricomycetes,terrestrial
Micromys minutus,Micromys,Muridae,Rodentia,Mammalia,terrestrial
Microneta viaria,Microneta,Linyphiidae,Araneae,Arachnida,terrestrial
Micropterna sequax,Stenophylax,Limnephilidae,Trichoptera,Insecta,terrestrial
Micropterna testacea,Stenophylax,Limnephilidae,Trichoptera,Insecta,terrestrial
Microrhagus lepidus,Microrhagus,Eucnemidae,Coleoptera,Insecta,terrestrial
Microrhagus pygmaeus,Microrhagus,Eucnemidae,Coleoptera,Insecta,terrestrial
Microtus arvalis,Microtus,Cricetidae,Rodentia,Mammalia,terrestrial
Microtus multiplex,Microtus,Cricetidae,Rodentia,Mammalia,terrestrial
Microtus subterraneus,Microtus,Cricetidae,Rodentia,Mammalia,terrestrial
Milium effusum,Milium,Poaceae,Poales,Liliopsida,terrestrial
Miltochrista miniata,Miltochrista,Erebidae,Lepidoptera,Insecta,terrestrial
Milvus migrans,Milvus,Accipitridae,Accipitriformes,Aves,terrestrial
Milvus milvus,Milvus,Accipitridae,Accipitriformes,Aves,terrestrial
Mimas tiliae,Mimas,Sphingidae,Lepidoptera,Insecta,terrestrial
Mimulus guttatus,Mimulus,Phrymaceae,Lamiales,Angiospermae,aquatic
